track_id;track_name;genre_id;album_id;track_length_seconds;composer
1;"Crazy In Love";1;1;238;"Shawn Carter"
2;"Crazy Little Thing Called Love";2;2;144;"Freddie Mercury"
3;"Umbrella";3;3;263;"Shawn Carter"
4;"I Will Always Love You";4;4;263;"Dolly Parton"
5;"I Want to Break Free";2;5;213;"John Deacon"
6;"I Gotta Feeling";3;6;236;"David Guetta"
7;"Hey Ya!";2;7;239;"André 3000"
8;"Smooth";3;8;311;"Rob Thomas"
9;"I'm Yours";3;9;241;"Jason Mraz"
10;"Uptown Funk";3;10;226;"Mark Ronson"
11;"Rolling in the Deep";3;11;232;"Adele Adkins"
12;"Bohemian Rhapsody";2;12;547;"Freddie Mercury"
13;"Don't Stop Believin'";2;13;286;"Jonathan Cain"
14;"Sweet Child o' Mine";2;14;311;"Guns N' Roses"
15;"All of Me";3;15;286;"John Stephens"
16;"Chandelier";3;16;253;"Sia Furler"
17;"Wake Me Up";3;17;267;"Avicii"
18;"Shape of You";3;18;242;"Ed Sheeran"
19;"Despacito";5;19;259;"Luis Fonsi"
20;"Clocks";2;20;269;"Guy Berryman"
21;"Hotel California";2;21;431;"Don Felder"
22;"Stairway to Heaven";2;22;483;"Jimmy Page"
23;"Livin' on a Prayer";2;23;238;"Jon Bon Jovi"
24;"Billie Jean";3;24;238;"Michael Jackson"
25;"Purple Rain";2;25;323;"Prince"
26;"Thinking Out Loud";3;26;269;"Ed Sheeran"
27;"We Found Love";3;27;226;"Calvin Harris"
28;"Don't Stop Me Now";2;28;202;"Freddie Mercury"
29;"Take On Me";3;29;193;"Morten Harket"
30;"Can't Help Falling in Love";3;30;177;"Hugo Peretti"
31;"Hallelujah";6;31;231;"Leonard Cohen"
32;"Viva La Vida";2;32;258;"Guy Berryman"
33;"I Will Survive";7;33;220;"Dino Fekaris"
34;"I Believe I Can Fly";1;34;323;"R. Kelly"
35;"Don't You Worry Child";9;35;219;"Steve Angello"
36;"Walking on Sunshine";3;36;202;"Kimberly Rew"
37;"Toxic";3;37;213;"Cathy Dennis"
38;"A Sky Full of Stars";2;38;267;"Guy Berryman"
39;"I'm a Believer";3;39;166;"Neil Diamond"
40;"I Love Rock 'n' Roll";2;40;152;"Alan Merrill"
41;"The Scientist";2;20;266;"Guy Berryman"
42;"Stayin' Alive";7;41;220;"Barry Gibb"
43;"Can't Stop the Feeling!";3;42;213;"Max Martin"
44;"We Are the Champions";2;43;155;"Freddie Mercury"
45;"Eye of the Tiger";2;44;238;"Jim Peterik"
46;"Happy";3;45;213;"Pharrell Williams"
47;"Let It Go";3;46;239;"Kristen AndersonLopez"
48;"Uptown Girl";3;47;203;"Billy Joel"
49;"Wannabe";3;48;194;"Melanie Brown"
50;"I Don't Want to Miss a Thing";2;49;277;"Diane Warren"
51;"Caught Up in You";2;50;284;"Donnie Van Zant"
52;"Fantasy Girl";2;50;236;"Donnie Van Zant"
53;"Hold On Loosely";2;50;301;"Donnie Van Zant"
54;"If I'd Been the One";2;50;269;"Donnie Van Zant"
55;"Rockin' Into the Night";2;50;272;"Donnie Van Zant"
56;"Back Where You Belong";2;50;269;"Donnie Van Zant"
57;"Teacher Teacher";2;50;269;"Donnie Van Zant"
58;"WildEyed Southern Boys";2;50;269;"Donnie Van Zant"
59;"You Keep Runnin' Away";2;50;269;"Donnie Van Zant"
60;"Caught Up in You (Live)";2;50;284;"Donnie Van Zant"
61;"Fantasy Girl (Live)";2;50;236;"Donnie Van Zant"
62;"Hold On Loosely (Live)";2;50;301;"Donnie Van Zant"
63;"If I'd Been the One (Live)";2;50;269;"Donnie Van Zant"
64;"Rockin' Into the Night (Live)";2;50;272;"Donnie Van Zant"
65;"Back Where You Belong (Live)";2;50;269;"Donnie Van Zant"
66;"Teacher Teacher (Live)";2;50;269;"Donnie Van Zant"
67;"WildEyed Southern Boys (Live)";2;50;269;"Donnie Van Zant"
68;"You Keep Runnin' Away (Live)";2;50;269;"Donnie Van Zant"
69;"Caught Up in You (Live '83)";2;50;284;"Donnie Van Zant"
70;"Fantasy Girl (Live '83)";2;50;236;"Donnie Van Zant"
71;"Hold On Loosely (Live '83)";2;50;301;"Donnie Van Zant"
72;"If I'd Been the One (Live '83)";2;50;269;"Donnie Van Zant"
73;"Rockin' Into the Night (Live '83)";2;50;272;"Donnie Van Zant"
74;"Back Where You Belong (Live '83)";2;50;269;"Donnie Van Zant"
75;"Teacher Teacher (Live '83)";2;50;269;"Donnie Van Zant"
76;"WildEyed Southern Boys (Live '83)";2;50;269;"Donnie Van Zant"
77;"You Keep Runnin' Away (Live '83)";2;50;269;"Donnie Van Zant"
